"","X1","X1_3","X1_2","X1_1","stimuliShown","group_1","perceptual_result","block","stim1","stim2","response","rt","reward","ID","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","trial_n","trigger_integer","buttonBox_2.keys","participant","ID_n","trigger_feedback","trialIndex","first_observer","second_observer","block_soc","pair_type"
"11",11,11,11,11,32,"underestimator","overestimator",1,3,2,1,1.4507693,64,1,2,4,1,NA,0,0,NA,1,NA,11,11,11,11,32,"1","sub-001",1,33,11,"out-group","in-group","baseline","different"
"12",12,12,12,12,21,"underestimator","overestimator",1,2,1,NA,NA,53,1,0,1,NA,NA,0,NA,1,NA,NA,12,12,12,12,21,"None","sub-001",1,22,12,"out-group","in-group","baseline","both_high"
"13",13,13,13,13,34,"underestimator","overestimator",1,3,4,0,1.1982601,29,1,3,6,NA,1,0,1,-1,NA,1,13,13,13,13,34,"0","sub-001",1,35,13,"out-group","in-group","baseline","both_low"
"14",14,14,14,14,34,"underestimator","overestimator",1,3,4,1,0.5994522,38,1,4,6,NA,0,0,0,-1,NA,0,14,14,14,14,34,"1","sub-001",1,35,14,"out-group","in-group","baseline","both_low"
"15",15,15,15,15,32,"underestimator","overestimator",1,3,2,1,1.1564967,53,1,2,4,1,NA,0,0,NA,1,NA,15,15,15,15,32,"1","sub-001",1,33,15,"out-group","in-group","baseline","different"
"16",16,16,16,16,32,"underestimator","overestimator",1,3,2,1,0.8418594,64,1,2,4,1,NA,0,0,NA,1,NA,16,16,16,16,32,"1","sub-001",1,33,16,"out-group","in-group","baseline","different"
"17",17,17,17,17,42,"underestimator","overestimator",1,4,2,1,0.8515357,61,1,2,5,1,NA,0,0,NA,1,NA,17,17,17,17,42,"1","sub-001",1,43,17,"out-group","in-group","baseline","different"
"18",18,18,18,18,43,"underestimator","overestimator",1,4,3,0,0.6650493,44,1,4,6,NA,0,0,1,-1,NA,0,18,18,18,18,43,"0","sub-001",1,44,18,"out-group","in-group","baseline","both_low"
"19",19,19,19,19,14,"underestimator","overestimator",1,1,4,0,1.4321454,64,1,1,3,1,NA,0,1,NA,1,NA,19,19,19,19,14,"0","sub-001",1,15,19,"out-group","in-group","baseline","different"
"20",20,20,20,20,34,"underestimator","overestimator",1,3,4,NA,NA,40,1,0,6,NA,NA,0,NA,-1,NA,NA,20,20,20,20,34,"None","sub-001",1,35,20,"out-group","in-group","baseline","both_low"
"21",21,21,21,21,32,"underestimator","overestimator",1,3,2,1,0.8826433,64,1,2,4,1,NA,0,0,NA,1,NA,21,21,21,21,32,"1","sub-001",1,33,21,"out-group","in-group","baseline","different"
"22",22,22,22,22,14,"underestimator","overestimator",1,1,4,NA,NA,42,1,0,3,0,NA,0,NA,NA,NA,NA,22,22,22,22,14,"None","sub-001",1,15,22,"out-group","in-group","baseline","different"
"23",23,23,23,23,43,"underestimator","overestimator",1,4,3,1,1.0743156,21,1,3,6,NA,1,0,0,-1,NA,1,23,23,23,23,43,"1","sub-001",1,44,23,"out-group","in-group","baseline","both_low"
"24",24,24,24,24,13,"underestimator","overestimator",1,1,3,0,1.4068935,50,1,1,2,1,NA,0,1,NA,1,NA,24,24,24,24,13,"0","sub-001",1,14,24,"out-group","in-group","baseline","different"
"25",25,25,25,25,24,"underestimator","overestimator",1,2,4,0,1.0574537,62,1,2,5,1,NA,0,1,NA,1,NA,25,25,25,25,24,"0","sub-001",1,25,25,"out-group","in-group","baseline","different"
"26",26,26,26,26,43,"underestimator","overestimator",1,4,3,0,0.8723956,42,1,4,6,NA,0,0,1,-1,NA,0,26,26,26,26,43,"0","sub-001",1,44,26,"out-group","in-group","baseline","both_low"
"27",27,27,27,27,32,"underestimator","overestimator",1,3,2,1,0.8907312,57,1,2,4,1,NA,0,0,NA,1,NA,27,27,27,27,32,"1","sub-001",1,33,27,"out-group","in-group","baseline","different"
"28",28,28,28,28,43,"underestimator","overestimator",1,4,3,0,1.2279676,40,1,4,6,NA,0,0,1,-1,NA,0,28,28,28,28,43,"0","sub-001",1,44,28,"out-group","in-group","baseline","both_low"
"29",29,29,29,29,14,"underestimator","overestimator",1,1,4,0,1.1422737,73,1,1,3,1,NA,0,1,NA,1,NA,29,29,29,29,14,"0","sub-001",1,15,29,"out-group","in-group","baseline","different"
"30",30,30,30,30,14,"underestimator","overestimator",1,1,4,0,0.7526994,72,1,1,3,1,NA,0,1,NA,1,NA,30,30,30,30,14,"0","sub-001",1,15,30,"out-group","in-group","baseline","different"
"31",31,31,31,31,14,"underestimator","overestimator",1,1,4,0,0.5410119,73,1,1,3,1,NA,0,1,NA,1,NA,31,31,31,31,14,"0","sub-001",1,15,31,"out-group","in-group","baseline","different"
"32",32,32,32,32,14,"underestimator","overestimator",1,1,4,0,0.4520175,73,1,1,3,1,NA,0,1,NA,1,NA,32,32,32,32,14,"0","sub-001",1,15,32,"out-group","in-group","baseline","different"
"33",33,33,33,33,21,"underestimator","overestimator",1,2,1,NA,NA,42,1,0,1,NA,NA,0,NA,1,NA,NA,33,33,33,33,21,"None","sub-001",1,22,33,"out-group","in-group","baseline","both_high"
"34",34,34,34,34,24,"underestimator","overestimator",1,2,4,0,0.8760802,57,1,2,5,1,NA,0,1,NA,1,NA,34,34,34,34,24,"0","sub-001",1,25,34,"out-group","in-group","baseline","different"
"35",35,35,35,35,41,"underestimator","overestimator",1,4,1,1,0.5649249,85,1,1,3,1,NA,0,0,NA,1,NA,35,35,35,35,41,"1","sub-001",1,42,35,"out-group","in-group","baseline","different"
"36",36,36,36,36,31,"underestimator","overestimator",1,3,1,1,0.8080419,72,1,1,2,1,NA,0,0,NA,1,NA,36,36,36,36,31,"1","sub-001",1,32,36,"out-group","in-group","baseline","different"
"37",37,37,37,37,42,"underestimator","overestimator",1,4,2,1,0.5401535,57,1,2,5,1,NA,0,0,NA,1,NA,37,37,37,37,42,"1","sub-001",1,43,37,"out-group","in-group","baseline","different"
"38",38,38,38,38,24,"underestimator","overestimator",1,2,4,0,0.6482889,64,1,2,5,1,NA,0,1,NA,1,NA,38,38,38,38,24,"0","sub-001",1,25,38,"out-group","in-group","baseline","different"
"39",39,39,39,39,12,"underestimator","overestimator",1,1,2,0,1.1493847,74,1,1,1,NA,1,0,1,1,NA,1,39,39,39,39,12,"0","sub-001",1,13,39,"out-group","in-group","baseline","both_high"
"40",40,40,40,40,34,"underestimator","overestimator",1,3,4,1,1.314682,36,1,4,6,NA,0,0,0,-1,NA,0,40,40,40,40,34,"1","sub-001",1,35,40,"out-group","in-group","baseline","both_low"
"41",41,41,41,41,24,"underestimator","overestimator",1,2,4,0,1.3426254,55,1,2,5,1,NA,0,1,NA,1,NA,41,41,41,41,24,"0","sub-001",1,25,41,"out-group","in-group","baseline","different"
"42",42,42,42,42,41,"underestimator","overestimator",1,4,1,1,0.6405912,78,1,1,3,1,NA,0,0,NA,1,NA,42,42,42,42,41,"1","sub-001",1,42,42,"out-group","in-group","baseline","different"
"43",43,43,43,43,12,"underestimator","overestimator",1,1,2,0,0.4447647,53,1,1,1,NA,1,0,1,1,NA,1,43,43,43,43,12,"0","sub-001",1,13,43,"out-group","in-group","baseline","both_high"
"44",44,44,44,44,21,"underestimator","overestimator",1,2,1,0,0.4669187,56,1,2,1,NA,0,0,1,1,NA,0,44,44,44,44,21,"0","sub-001",1,22,44,"out-group","in-group","baseline","both_high"
"45",45,45,45,45,14,"underestimator","overestimator",1,1,4,0,0.5013608,74,1,1,3,1,NA,0,1,NA,1,NA,45,45,45,45,14,"0","sub-001",1,15,45,"out-group","in-group","baseline","different"
"46",46,46,46,46,31,"underestimator","overestimator",1,3,1,1,1.2899903,72,1,1,2,1,NA,0,0,NA,1,NA,46,46,46,46,31,"1","sub-001",1,32,46,"out-group","in-group","baseline","different"
"47",47,47,47,47,41,"underestimator","overestimator",1,4,1,1,0.6167387,38,1,1,3,1,NA,0,0,NA,1,NA,47,47,47,47,41,"1","sub-001",1,42,47,"out-group","in-group","baseline","different"
"48",48,48,48,48,34,"underestimator","overestimator",1,3,4,NA,NA,39,1,0,6,NA,NA,0,NA,-1,NA,NA,48,48,48,48,34,"None","sub-001",1,35,48,"out-group","in-group","baseline","both_low"
"49",49,49,49,49,12,"underestimator","overestimator",1,1,2,0,0.9512847,68,1,1,1,NA,1,0,1,1,NA,1,49,49,49,49,12,"0","sub-001",1,13,49,"out-group","in-group","baseline","both_high"
"50",50,50,50,50,42,"underestimator","overestimator",1,4,2,1,0.7324723,58,1,2,5,1,NA,0,0,NA,1,NA,50,50,50,50,42,"1","sub-001",1,43,50,"out-group","in-group","baseline","different"
"51",51,51,51,51,24,"underestimator","overestimator",1,2,4,0,0.8001976,57,1,2,5,1,NA,0,1,NA,1,NA,51,51,51,51,24,"0","sub-001",1,25,51,"out-group","in-group","baseline","different"
"52",52,52,52,52,42,"underestimator","overestimator",1,4,2,1,0.5965228,62,1,2,5,1,NA,0,0,NA,1,NA,52,52,52,52,42,"1","sub-001",1,43,52,"out-group","in-group","baseline","different"
"53",53,53,53,53,41,"underestimator","overestimator",1,4,1,1,0.4414929,66,1,1,3,1,NA,0,0,NA,1,NA,53,53,53,53,41,"1","sub-001",1,42,53,"out-group","in-group","baseline","different"
"54",54,54,54,54,21,"underestimator","overestimator",1,2,1,1,0.4955872,64,1,1,1,NA,1,0,0,1,NA,1,54,54,54,54,21,"1","sub-001",1,22,54,"out-group","in-group","baseline","both_high"
"55",55,55,55,55,32,"underestimator","overestimator",1,3,2,1,0.8061451,55,1,2,4,1,NA,0,0,NA,1,NA,55,55,55,55,32,"1","sub-001",1,33,55,"out-group","in-group","baseline","different"
"56",56,56,56,56,32,"underestimator","overestimator",1,3,2,1,0.7051103,58,1,2,4,1,NA,0,0,NA,1,NA,56,56,56,56,32,"1","sub-001",1,33,56,"out-group","in-group","baseline","different"
"57",57,57,57,57,42,"underestimator","overestimator",1,4,2,1,0.5050029,54,1,2,5,1,NA,0,0,NA,1,NA,57,57,57,57,42,"1","sub-001",1,43,57,"out-group","in-group","baseline","different"
"58",58,58,58,58,31,"underestimator","overestimator",1,3,1,1,0.9772421,56,1,1,2,1,NA,0,0,NA,1,NA,58,58,58,58,31,"1","sub-001",1,32,58,"out-group","in-group","baseline","different"
"59",59,59,59,59,13,"underestimator","overestimator",1,1,3,0,0.5507575,75,1,1,2,1,NA,0,1,NA,1,NA,59,59,59,59,13,"0","sub-001",1,14,59,"out-group","in-group","baseline","different"
"60",60,60,60,60,41,"underestimator","overestimator",1,4,1,1,0.6671437,84,1,1,3,1,NA,0,0,NA,1,NA,60,60,60,60,41,"1","sub-001",1,42,60,"out-group","in-group","baseline","different"
"61",61,61,61,61,24,"underestimator","overestimator",1,2,4,0,0.7218842,52,1,2,5,1,NA,0,1,NA,1,NA,61,61,61,61,24,"0","sub-001",1,25,61,"out-group","in-group","baseline","different"
"62",62,62,62,62,23,"underestimator","overestimator",1,2,3,0,0.8425871,60,1,2,4,1,NA,0,1,NA,1,NA,62,62,62,62,23,"0","sub-001",1,24,62,"out-group","in-group","baseline","different"
"63",63,63,63,63,43,"underestimator","overestimator",1,4,3,0,1.4637801,47,1,4,6,NA,0,0,1,-1,NA,0,63,63,63,63,43,"0","sub-001",1,44,63,"out-group","in-group","baseline","both_low"
"64",64,64,64,64,24,"underestimator","overestimator",1,2,4,0,0.9262606,57,1,2,5,1,NA,0,1,NA,1,NA,64,64,64,64,24,"0","sub-001",1,25,64,"out-group","in-group","baseline","different"
"65",65,65,65,65,13,"underestimator","overestimator",1,1,3,0,0.829316,47,1,1,2,1,NA,0,1,NA,1,NA,65,65,65,65,13,"0","sub-001",1,14,65,"out-group","in-group","baseline","different"
"66",66,66,66,66,43,"underestimator","overestimator",1,4,3,0,1.1982517,36,1,4,6,NA,0,0,1,-1,NA,0,66,66,66,66,43,"0","sub-001",1,44,66,"out-group","in-group","baseline","both_low"
"67",67,67,67,67,12,"underestimator","overestimator",1,1,2,0,1.0528156,91,1,1,1,NA,1,0,1,1,NA,1,67,67,67,67,12,"0","sub-001",1,13,67,"out-group","in-group","baseline","both_high"
"68",68,68,68,68,42,"underestimator","overestimator",1,4,2,1,1.0214802,59,1,2,5,1,NA,0,0,NA,1,NA,68,68,68,68,42,"1","sub-001",1,43,68,"out-group","in-group","baseline","different"
"69",69,69,69,69,14,"underestimator","overestimator",1,1,4,0,0.6539449,83,1,1,3,1,NA,0,1,NA,1,NA,69,69,69,69,14,"0","sub-001",1,15,69,"out-group","in-group","baseline","different"
"70",70,70,70,70,12,"underestimator","overestimator",1,1,2,0,0.6280077,50,1,1,1,NA,1,0,1,1,NA,1,70,70,70,70,12,"0","sub-001",1,13,70,"out-group","in-group","baseline","both_high"
"71",71,71,71,71,12,"underestimator","overestimator",1,1,2,0,0.4783943,78,1,1,1,NA,1,0,1,1,NA,1,71,71,71,71,12,"0","sub-001",1,13,71,"out-group","in-group","baseline","both_high"
"72",72,72,72,72,41,"underestimator","overestimator",1,4,1,1,0.6390975,73,1,1,3,1,NA,0,0,NA,1,NA,72,72,72,72,41,"1","sub-001",1,42,72,"out-group","in-group","baseline","different"
"73",73,73,73,73,43,"underestimator","overestimator",1,4,3,0,1.3192807,52,1,4,6,NA,0,0,1,-1,NA,0,73,73,73,73,43,"0","sub-001",1,44,73,"out-group","in-group","baseline","both_low"
"74",74,74,74,74,21,"underestimator","overestimator",1,2,1,1,0.6417917,76,1,1,1,NA,1,0,0,1,NA,1,74,74,74,74,21,"1","sub-001",1,22,74,"out-group","in-group","baseline","both_high"
"75",75,75,75,75,14,"underestimator","overestimator",1,1,4,0,0.642546,70,1,1,3,1,NA,0,1,NA,1,NA,75,75,75,75,14,"0","sub-001",1,15,75,"out-group","in-group","baseline","different"
"76",76,76,76,76,23,"underestimator","overestimator",1,2,3,0,1.2569858,65,1,2,4,1,NA,0,1,NA,1,NA,76,76,76,76,23,"0","sub-001",1,24,76,"out-group","in-group","baseline","different"
"77",77,77,77,77,31,"underestimator","overestimator",1,3,1,1,0.8785051,30,1,1,2,1,NA,0,0,NA,1,NA,77,77,77,77,31,"1","sub-001",1,32,77,"out-group","in-group","baseline","different"
"78",78,78,78,78,24,"underestimator","overestimator",1,2,4,0,1.2537832,55,1,2,5,1,NA,0,1,NA,1,NA,78,78,78,78,24,"0","sub-001",1,25,78,"out-group","in-group","baseline","different"
"79",79,79,79,79,31,"underestimator","overestimator",1,3,1,1,0.548802,54,1,1,2,1,NA,0,0,NA,1,NA,79,79,79,79,31,"1","sub-001",1,32,79,"out-group","in-group","baseline","different"
"80",80,80,80,80,41,"underestimator","overestimator",1,4,1,1,0.5703513,90,1,1,3,1,NA,0,0,NA,1,NA,80,80,80,80,41,"1","sub-001",1,42,80,"out-group","in-group","baseline","different"
"81",81,81,81,81,24,"underestimator","overestimator",1,2,4,0,0.7138653,63,1,2,5,1,NA,0,1,NA,1,NA,81,81,81,81,24,"0","sub-001",1,25,81,"out-group","in-group","baseline","different"
"82",82,82,82,82,41,"underestimator","overestimator",1,4,1,1,0.4956996,88,1,1,3,1,NA,0,0,NA,1,NA,82,82,82,82,41,"1","sub-001",1,42,82,"out-group","in-group","baseline","different"
"83",83,83,83,83,41,"underestimator","overestimator",1,4,1,1,0.6054255,64,1,1,3,1,NA,0,0,NA,1,NA,83,83,83,83,41,"1","sub-001",1,42,83,"out-group","in-group","baseline","different"
"84",84,84,84,84,13,"underestimator","overestimator",1,1,3,0,0.8853673,27,1,1,2,1,NA,0,1,NA,1,NA,84,84,84,84,13,"0","sub-001",1,14,84,"out-group","in-group","baseline","different"
"85",85,85,85,85,12,"underestimator","overestimator",1,1,2,0,0.6838652,55,1,1,1,NA,1,0,1,1,NA,1,85,85,85,85,12,"0","sub-001",1,13,85,"out-group","in-group","baseline","both_high"
"86",86,86,86,86,31,"underestimator","overestimator",1,3,1,1,0.5428181,66,1,1,2,1,NA,0,0,NA,1,NA,86,86,86,86,31,"1","sub-001",1,32,86,"out-group","in-group","baseline","different"
"87",87,87,87,87,34,"underestimator","overestimator",1,3,4,NA,NA,37,1,0,6,NA,NA,0,NA,-1,NA,NA,87,87,87,87,34,"None","sub-001",1,35,87,"out-group","in-group","baseline","both_low"
"88",88,88,88,88,23,"underestimator","overestimator",1,2,3,1,0.853652,57,1,3,4,0,NA,0,0,NA,0,NA,88,88,88,88,23,"1","sub-001",1,24,88,"out-group","in-group","baseline","different"
"89",89,89,89,89,13,"underestimator","overestimator",1,1,3,0,1.033392,60,1,1,2,1,NA,0,1,NA,1,NA,89,89,89,89,13,"0","sub-001",1,14,89,"out-group","in-group","baseline","different"
"90",90,90,90,90,34,"underestimator","overestimator",1,3,4,1,1.345618,33,1,4,6,NA,0,0,0,-1,NA,0,90,90,90,90,34,"1","sub-001",1,35,90,"out-group","in-group","baseline","both_low"
"91",91,91,91,91,32,"underestimator","overestimator",1,3,2,0,1.2420642,56,1,3,4,0,NA,0,1,NA,0,NA,91,91,91,91,32,"0","sub-001",1,33,91,"out-group","in-group","baseline","different"
"92",92,92,92,92,21,"underestimator","overestimator",1,2,1,1,0.8865238,83,1,1,1,NA,1,0,0,1,NA,1,92,92,92,92,21,"1","sub-001",1,22,92,"out-group","in-group","baseline","both_high"
"93",93,93,93,93,34,"underestimator","overestimator",1,3,4,0,1.169815,20,1,3,6,NA,1,0,1,-1,NA,1,93,93,93,93,34,"0","sub-001",1,35,93,"out-group","in-group","baseline","both_low"
"94",94,94,94,94,23,"underestimator","overestimator",1,2,3,0,0.9665508,48,1,2,4,1,NA,0,1,NA,1,NA,94,94,94,94,23,"0","sub-001",1,24,94,"out-group","in-group","baseline","different"
"95",95,95,95,95,13,"underestimator","overestimator",1,1,3,0,0.8692212,72,1,1,2,1,NA,0,1,NA,1,NA,95,95,95,95,13,"0","sub-001",1,14,95,"out-group","in-group","baseline","different"
"96",96,96,96,96,42,"underestimator","overestimator",1,4,2,1,0.8625346,55,1,2,5,1,NA,0,0,NA,1,NA,96,96,96,96,42,"1","sub-001",1,43,96,"out-group","in-group","baseline","different"
"97",97,97,97,97,43,"underestimator","overestimator",1,4,3,1,1.391733,25,1,3,6,NA,1,0,0,-1,NA,1,97,97,97,97,43,"1","sub-001",1,44,97,"out-group","in-group","baseline","both_low"
"98",98,98,98,98,23,"underestimator","overestimator",1,2,3,0,0.7735356,62,1,2,4,1,NA,0,1,NA,1,NA,98,98,98,98,23,"0","sub-001",1,24,98,"out-group","in-group","baseline","different"
"99",99,99,99,99,12,"underestimator","overestimator",1,1,2,0,0.9193007,41,1,1,1,NA,1,0,1,1,NA,1,99,99,99,99,12,"0","sub-001",1,13,99,"out-group","in-group","baseline","both_high"
"100",100,100,100,100,13,"underestimator","overestimator",1,1,3,0,0.6297672,57,1,1,2,1,NA,0,1,NA,1,NA,100,100,100,100,13,"0","sub-001",1,14,100,"out-group","in-group","baseline","different"
"101",101,101,101,101,32,"underestimator","overestimator",1,3,2,1,0.9460445,50,1,2,4,1,NA,0,0,NA,1,NA,101,101,101,101,32,"1","sub-001",1,33,101,"out-group","in-group","baseline","different"
"102",102,102,102,102,21,"underestimator","overestimator",1,2,1,1,0.5374578,84,1,1,1,NA,1,0,0,1,NA,1,102,102,102,102,21,"1","sub-001",1,22,102,"out-group","in-group","baseline","both_high"
"103",103,103,103,103,34,"underestimator","overestimator",1,3,4,1,1.4496764,41,1,4,6,NA,0,0,0,-1,NA,0,103,103,103,103,34,"1","sub-001",1,35,103,"out-group","in-group","baseline","both_low"
"104",104,104,104,104,34,"underestimator","overestimator",1,3,4,1,0.8541636,36,1,4,6,NA,0,0,0,-1,NA,0,104,104,104,104,34,"1","sub-001",1,35,104,"out-group","in-group","baseline","both_low"
"105",105,105,105,105,31,"underestimator","overestimator",1,3,1,1,0.9622808,75,1,1,2,1,NA,0,0,NA,1,NA,105,105,105,105,31,"1","sub-001",1,32,105,"out-group","in-group","baseline","different"
"106",106,106,106,106,14,"underestimator","overestimator",1,1,4,0,0.6787034,62,1,1,3,1,NA,0,1,NA,1,NA,106,106,106,106,14,"0","sub-001",1,15,106,"out-group","in-group","baseline","different"
"107",107,107,107,107,13,"underestimator","overestimator",1,1,3,0,0.5986626,64,1,1,2,1,NA,0,1,NA,1,NA,107,107,107,107,13,"0","sub-001",1,14,107,"out-group","in-group","baseline","different"
"108",108,108,108,108,23,"underestimator","overestimator",1,2,3,0,1.3382997,51,1,2,4,1,NA,0,1,NA,1,NA,108,108,108,108,23,"0","sub-001",1,24,108,"out-group","in-group","baseline","different"
"109",109,109,109,109,14,"underestimator","overestimator",1,1,4,0,0.7757294,91,1,1,3,1,NA,0,1,NA,1,NA,109,109,109,109,14,"0","sub-001",1,15,109,"out-group","in-group","baseline","different"
"110",110,110,110,110,32,"underestimator","overestimator",1,3,2,1,1.1698102,55,1,2,4,1,NA,0,0,NA,1,NA,110,110,110,110,32,"1","sub-001",1,33,110,"out-group","in-group","baseline","different"
"111",111,111,111,111,31,"underestimator","overestimator",1,3,1,1,0.8565245,49,1,1,2,1,NA,0,0,NA,1,NA,111,111,111,111,31,"1","sub-001",1,32,111,"out-group","in-group","baseline","different"
"112",112,112,112,112,12,"underestimator","overestimator",1,1,2,0,0.6236393,75,1,1,1,NA,1,0,1,1,NA,1,112,112,112,112,12,"0","sub-001",1,13,112,"out-group","in-group","baseline","both_high"
"113",113,113,113,113,23,"underestimator","overestimator",1,2,3,0,1.2107402,60,1,2,4,1,NA,0,1,NA,1,NA,113,113,113,113,23,"0","sub-001",1,24,113,"out-group","in-group","baseline","different"
"114",114,114,114,114,43,"underestimator","overestimator",1,4,3,0,1.1330066,40,1,4,6,NA,0,0,1,-1,NA,0,114,114,114,114,43,"0","sub-001",1,44,114,"out-group","in-group","baseline","both_low"
"115",115,115,115,115,41,"underestimator","overestimator",1,4,1,1,0.5157945,60,1,1,3,1,NA,0,0,NA,1,NA,115,115,115,115,41,"1","sub-001",1,42,115,"out-group","in-group","baseline","different"
"116",116,116,116,116,23,"underestimator","overestimator",1,2,3,0,0.9365388,59,1,2,4,1,NA,0,1,NA,1,NA,116,116,116,116,23,"0","sub-001",1,24,116,"out-group","in-group","baseline","different"
"117",117,117,117,117,31,"underestimator","overestimator",1,3,1,1,0.5658825,79,1,1,2,1,NA,0,0,NA,1,NA,117,117,117,117,31,"1","sub-001",1,32,117,"out-group","in-group","baseline","different"
"118",118,118,118,118,14,"underestimator","overestimator",1,1,4,0,0.4772042,61,1,1,3,1,NA,0,1,NA,1,NA,118,118,118,118,14,"0","sub-001",1,15,118,"out-group","in-group","baseline","different"
"119",119,119,119,119,14,"underestimator","overestimator",1,1,4,0,0.6277713,88,1,1,3,1,NA,0,1,NA,1,NA,119,119,119,119,14,"0","sub-001",1,15,119,"out-group","in-group","baseline","different"
"120",120,120,120,120,31,"underestimator","overestimator",1,3,1,1,0.6392262,81,1,1,2,1,NA,0,0,NA,1,NA,120,120,120,120,31,"1","sub-001",1,32,120,"out-group","in-group","baseline","different"
"121",121,121,121,121,14,"underestimator","overestimator",1,1,4,0,0.4484522,97,1,1,3,1,NA,0,1,NA,1,NA,121,121,121,121,14,"0","sub-001",1,15,121,"out-group","in-group","baseline","different"
"122",122,122,122,122,12,"underestimator","overestimator",1,1,2,0,0.4026893,53,1,1,1,NA,1,0,1,1,NA,1,122,122,122,122,12,"0","sub-001",1,13,122,"out-group","in-group","baseline","both_high"
"123",123,123,123,123,42,"underestimator","overestimator",1,4,2,1,1.1307104,58,1,2,5,1,NA,0,0,NA,1,NA,123,123,123,123,42,"1","sub-001",1,43,123,"out-group","in-group","baseline","different"
"124",124,124,124,124,12,"underestimator","overestimator",1,1,2,0,0.4538754,80,1,1,1,NA,1,0,1,1,NA,1,124,124,124,124,12,"0","sub-001",1,13,124,"out-group","in-group","baseline","both_high"
"125",125,125,125,125,12,"underestimator","overestimator",1,1,2,0,0.556608,45,1,1,1,NA,1,0,1,1,NA,1,125,125,125,125,12,"0","sub-001",1,13,125,"out-group","in-group","baseline","both_high"
"126",126,126,126,126,21,"underestimator","overestimator",1,2,1,1,0.416717,70,1,1,1,NA,1,0,0,1,NA,1,126,126,126,126,21,"1","sub-001",1,22,126,"out-group","in-group","baseline","both_high"
"127",127,127,127,127,34,"underestimator","overestimator",1,3,4,1,1.2118769,36,1,4,6,NA,0,0,0,-1,NA,0,127,127,127,127,34,"1","sub-001",1,35,127,"out-group","in-group","baseline","both_low"
"128",128,128,128,128,13,"underestimator","overestimator",1,1,3,0,0.5538585,81,1,1,2,1,NA,0,1,NA,1,NA,128,128,128,128,13,"0","sub-001",1,14,128,"out-group","in-group","baseline","different"
"129",129,129,129,129,42,"underestimator","overestimator",1,4,2,1,1.4249596,56,1,2,5,1,NA,0,0,NA,1,NA,129,129,129,129,42,"1","sub-001",1,43,129,"out-group","in-group","baseline","different"
"130",130,130,130,130,24,"underestimator","overestimator",1,2,4,0,1.2401356,63,1,2,5,1,NA,0,1,NA,1,NA,130,130,130,130,24,"0","sub-001",1,25,130,"out-group","in-group","baseline","different"
"131",131,131,131,131,21,"underestimator","overestimator",1,2,1,1,0.4684504,71,1,1,1,NA,1,0,0,1,NA,1,131,131,131,131,21,"1","sub-001",1,22,131,"out-group","in-group","baseline","both_high"
